system:index,adm0_a3,area,brk_name,mean,.geo
00000000000000000086,ZWE,3.9018361688222864E11,Zimbabwe,36.59019421504536,
00000000000000000079,UZB,4.4736992073581665E11,Uzbekistan,72.86791451401622,
00000000000000000043,PNG,4.642915712312194E11,Papua New Guinea,19.89045166550365,
00000000000000000061,SVK,4.833944097325861E10,Slovakia,112.83072734882596,
000000000000000000bf,KAZ,2.712778152622092E12,Kazakhstan,6.587234824819198,
000000000000000000f0,NLD,3.713270125066564E10,Netherlands,477.3280340775378,
00000000000000000004,CMR,4.6588211462669684E11,Cameroon,60.976596635391914,
0000000000000000006c,TJK,1.4229334637747964E11,Tajikistan,67.47187733186509,
0000000000000000004e,RWA,2.5385656961358852E10,Rwanda,599.5036465567337,
00000000000000000090,ERI,1.2368058515960774E11,Eritrea,34.98539203322016,
0000000000000000004f,SAH,9.079435790195088E10,W. Sahara,0.42886220551435117,
000000000000000000c8,LAO,2.2894536893427798E11,Laos,34.278487233549455,
00000000000000000096,FLK,1.1386247134492569E10,Falkland Is.,0.15156136305188478,
000000000000000000ce,LKA,6.604294683964512E10,Sri Lanka,326.00393787517646,
000000000000000000af,IDN,1.8721596697237664E12,Indonesia,150.17290845260484,
00000000000000000092,EST,4.5452576634156876E10,Estonia,31.99641575659123,
00000000000000000003,CIV,3.222968750896222E11,C�te d'Ivoire,83.86596608741232,
000000000000000000e3,MOZ,7.906693533065753E11,Mozambique,39.451956028564815,
00000000000000000019,ARG,2.782677113578764E12,Argentina,15.92509662905092,
00000000000000000076,UKR,5.971266577113839E11,Ukraine,74.65402075351766,
0000000000000000004b,QAT,1.1074085963982878E10,Qatar,590.5857789056347,
00000000000000000069,TCD,1.2709910250816401E12,Chad,12.82656136226304,
000000000000000000ed,NGA,9.115525688077213E11,Nigeria,237.32807066669685,
0000000000000000006b,THA,5.157289177735939E11,Thailand,145.7861894068918,
00000000000000000091,ESP,5.061716954941674E11,Spain,103.18771664485682,
00000000000000000071,TUN,1.5665795318521225E11,Tunisia,77.03394849207235,
0000000000000000009c,GEO,6.930511626094978E10,Georgia,54.94132640104826,
0000000000000000005e,SRB,7.749000805337177E10,Serbia,93.75867520397698,
0000000000000000007c,VEN,9.143177489399548E11,Venezuela,35.36031216844148,
0000000000000000003e,PAN,7.42445755956776E10,Panama,58.83579156797679,
00000000000000000012,AFG,6.420541990004327E11,Afghanistan,47.66241311335197,
0000000000000000001c,ATA,1.2256629605128441E13,Antarctica,,
000000000000000000a3,GRC,1.301667505349764E11,Greece,81.37076957831734,
000000000000000000d5,MAR,5.823971073592861E11,Morocco,65.5814028093262,
000000000000000000b6,IRQ,4.374560488994243E11,Iraq,104.74226226998881,
00000000000000000088,DEU,3.561640385812638E11,Germany,223.03463526564394,
0000000000000000008b,DNK,4.241704395948183E10,Denmark,135.74939834068175,
00000000000000000031,BRA,8.499364360110176E12,Brazil,25.9745125834909,
00000000000000000077,URY,1.7756172374412213E11,Uruguay,18.645741725545804,
00000000000000000041,PHL,2.9030453698736456E11,Philippines,384.5146823562403,
000000000000000000b8,ISR,2.2283603247026493E10,Israel,399.4284339970155,
00000000000000000093,ETH,1.1317848806172896E12,Ethiopia,91.87745389217312,
0000000000000000006d,TKM,4.706280835598775E11,Turkmenistan,21.079156388913802,
0000000000000000003c,OMN,3.1207178964435974E11,Oman,12.583635170343522,
000000000000000000a6,GTM,1.084802371410138E11,Guatemala,168.14655845854,
00000000000000000059,SLV,2.039185852246922E10,El Salvador,331.76724687300475,
00000000000000000023,BDI,2.7207287128545586E10,Burundi,422.4208590391921,
000000000000000000ae,HUN,9.295890161006354E10,Hungary,102.60771625210216,
000000000000000000bd,JPN,3.700984264878994E11,Japan,342.93991648706543,
000000000000000000d0,LTU,6.451828332423436E10,Lithuania,43.064609810306685,
0000000000000000008c,DOM,4.858920212688222E10,Dominican Rep.,256.45003014096574,
0000000000000000003d,PAK,8.737715645867314E11,Pakistan,265.00702978188025,
000000000000000000df,MMR,6.627651968050989E11,Myanmar,73.00944038110813,
000000000000000000c2,KHM,1.8136276753694922E11,Cambodia,110.5386681330626,
0000000000000000002b,BIH,5.168459606967449E10,Bosnia and Herz.,65.95114806601055,
000000000000000000a1,GNB,3.20557182927192E10,Guinea-Bissau,56.03432875599835,
00000000000000000047,PRT,9.075832898820743E10,Portugal,110.0863845483592,
00000000000000000028,BGR,1.1241859711857329E11,Bulgaria,70.91517387403447,
00000000000000000008,COL,1.139431471049998E12,Colombia,56.29091390995191,
00000000000000000020,AUS,7.705994690922982E12,Australia,3.057035224346446,
0000000000000000002a,BHS,1.2668144668083288E10,Bahamas,29.199592494791386,
000000000000000000ab,HND,1.1351431638980246E11,Honduras,85.65303916679449,
00000000000000000063,SWE,4.429761453898181E11,Sweden,20.026429849617614,
