"","date","search","search_adj"
"243",2004-03-16,0,0
"244",2004-03-12,0,0
"245",2004-03-14,65,73.3796472528867
"246",2004-03-15,39,44.027788351732
"247",2004-03-17,38,42.8988707016876
"248",2005-03-14,0,0
"249",2005-03-12,0,0
"250",2005-03-16,43,76.3161819537658
"251",2005-03-13,0,0
"252",2005-03-17,0,0
"253",2005-03-18,47,83.4153616703952
"254",2005-03-15,0,0
"255",2006-03-18,54,51.2640400598115
"256",2006-03-12,55,52.2133741349932
"257",2006-03-16,35,33.2266926313593
"258",2006-03-14,67,63.6053830371736
"259",2006-03-15,35,33.2266926313593
"260",2006-03-17,0,0
"261",2006-03-13,52,49.3653719094481
"262",2007-03-16,55,180.756756756757
"263",2007-03-17,0,0
"264",2007-03-13,26,85.4486486486487
"265",2007-03-14,26,85.4486486486487
"266",2007-03-12,26,85.4486486486487
"267",2007-03-18,0,0
"268",2007-03-15,0,0
"269",2008-03-13,52,92.5877077288314
"270",2008-03-11,25,44.5133210234767
"271",2008-03-12,26,46.2938538644157
"272",2008-03-16,0,0
"273",2008-03-17,26,46.2938538644157
"274",2008-03-14,55,97.9293062516487
"275",2008-03-15,39,69.4407807966236
"276",2009-03-15,33,33.0236898779612
"277",2009-03-18,44,44.0315865039483
"278",2009-03-14,33,33.0236898779612
"279",2009-03-12,44,44.0315865039483
"280",2009-03-16,22,22.0157932519742
"281",2009-03-13,47,47.0337401292175
"282",2009-03-17,22,22.0157932519742
"283",2010-03-13,38,68.7619047619048
"284",2010-03-15,18,32.5714285714286
"285",2010-03-17,18,32.5714285714286
"286",2010-03-14,26,47.0476190476191
"287",2010-03-16,0,0
"288",2010-03-12,19,34.3809523809524
"289",2010-03-18,28,50.6666666666667
"290",2011-03-12,37,43.9544810409241
"291",2011-03-17,24,28.5110147292481
"292",2011-03-14,59,70.0895778760682
"293",2011-03-15,37,43.9544810409241
"294",2011-03-13,76,90.2848799759523
"295",2011-03-16,41,48.7063168291321
"296",2011-03-18,45,53.4581526173401
"297",2012-03-16,19,20.1171699259478
"298",2012-03-17,31,32.8227509318096
"299",2012-03-14,62,65.6455018636192
"300",2012-03-11,75,79.4098812866361
"301",2012-03-12,42,44.4695335205162
"302",2012-03-15,37,39.1755414347405
"303",2012-03-13,37,39.1755414347405
"304",2013-03-17,27,23.7450031559015
"305",2013-03-13,49,43.0927835051546
"306",2013-03-12,64,56.2844519250999
"307",2013-03-15,29,25.5038922785609
"308",2013-03-14,78,68.5966757837156
"309",2013-03-16,30,26.3833368398906
"310",2013-03-18,66,58.0433410477593
"311",2014-03-18,20,30.3048510530643
"312",2014-03-13,34,51.5182467902094
"313",2014-03-14,14,21.213395737145
"314",2014-03-17,26,39.3963063689836
"315",2014-03-12,20,30.3048510530643
"316",2014-03-15,25,37.8810638163304
"317",2014-03-16,24,36.3658212636772
"318",2015-03-15,33,36.6306728082761
"319",2015-03-13,39,43.2907951370535
"320",2015-03-17,64,71.041304840293
"321",2015-03-16,52,57.721060182738
