sat,rank,satobs,mlhs,mcol,flhs,fcol,black,hisp,asian,female,rdsc,vocab,pict,lgsc,matsc,mosaic,nsib
890,78,1,0,0,1,0,0,0,0,0,64,60,61,62,53,54,1
0,18,0,0,0,0,0,0,0,0,0,57,46,44,55,53,47,4
0,3,0,0,0,0,0,0,0,0,0,32,42,45,41,28,35,2
0,98,0,0,1,0,0,0,0,0,1,42,54,65,55,55,59,0
0,68,0,0,1,0,1,0,0,0,1,56,60,64,60,64,59,3
0,68,0,0,1,0,1,0,0,0,0,50,66,41,52,50,52,4
810,79,1,0,0,1,0,0,0,0,1,62,53,45,57,47,53,4
0,38,0,0,0,0,0,0,0,0,0,64,69,46,54,64,49,6
0,68,0,1,0,0,0,0,0,0,1,51,51,64,60,47,61,2
0,68,0,0,0,0,1,0,0,0,1,59,54,38,61,53,49,3
990,25,1,0,0,0,0,0,0,0,0,59,58,56,55,62,54,1
0,57,0,1,0,0,1,0,0,0,0,51,39,61,38,49,51,4
1140,55,1,0,1,0,1,0,0,0,0,66,66,53,51,64,50,5
0,75,0,0,0,0,0,0,0,0,1,51,55,56,54,58,55,2
0,78,0,0,0,1,0,0,0,0,1,46,48,64,47,62,50,2
0,82,0,0,0,0,0,0,0,0,1,61,54,47,60,62,71,3
0,48,0,0,0,0,0,0,0,0,0,59,51,53,48,51,53,1
840,68,1,0,0,0,1,0,0,0,0,49,39,43,45,51,49,4
1230,70,1,0,1,0,1,0,0,0,0,59,66,60,64,65,58,2
940,36,1,1,0,1,0,0,0,0,1,56,54,50,55,53,44,1
1240,99,1,0,1,0,1,0,0,0,0,59,66,34,65,65,59,3
0,28,0,1,0,0,1,0,0,0,0,49,42,55,36,47,58,3
0,13,0,0,0,1,0,0,0,0,0,38,36,35,28,46,52,4
0,36,0,0,0,0,0,0,0,0,0,32,48,50,49,46,49,5
1090,88,1,0,1,0,1,0,0,0,1,60,64,48,63,53,65,2
0,29,0,0,0,1,0,0,0,0,1,42,36,46,42,44,53,3
0,35,0,0,0,0,1,0,0,0,0,68,52,58,53,56,49,3
670,80,1,1,0,1,0,0,1,0,1,46,54,45,43,29,48,5
0,68,0,0,0,1,0,0,0,0,1,49,39,66,55,53,49,3
1040,98,1,1,0,1,0,0,1,0,1,61,63,65,52,62,46,2
0,27,0,0,0,0,1,0,0,0,0,44,45,48,47,43,43,8
0,44,0,0,0,0,1,0,0,0,1,39,36,55,37,31,45,5
890,92,1,1,0,1,0,1,0,0,1,60,44,66,57,56,49,4
0,19,0,1,0,1,0,0,0,0,0,35,42,52,32,40,51,10
0,37,0,0,1,0,1,0,0,0,0,44,57,41,53,46,47,2
0,36,0,0,0,0,1,0,0,0,0,49,60,51,52,49,44,0
0,54,0,0,1,0,1,0,0,0,1,54,54,50,49,57,53,4
0,38,0,0,0,0,0,0,0,0,0,49,54,46,53,40,58,4
1010,53,1,0,1,0,1,0,0,0,0,64,54,40,53,55,37,1
920,79,1,0,1,0,1,0,0,0,1,66,58,61,54,60,37,5
1370,99,1,0,1,0,1,0,0,0,1,66,69,61,60,65,54,2
740,39,1,0,1,0,1,0,0,0,1,51,58,49,51,61,54,2
0,21,0,0,0,0,0,0,0,0,0,50,49,35,45,46,39,3
0,65,0,0,0,1,0,0,0,0,0,51,48,54,58,51,71,1
0,95,0,0,0,0,0,0,0,0,0,59,63,65,55,59,48,2
0,6,0,0,0,0,0,0,0,0,0,55,57,31,47,44,41,2
0,54,0,0,1,0,0,0,0,0,1,59,54,45,58,49,60,2
0,18,0,0,0,1,0,0,0,0,0,33,45,31,34,31,22,6
0,88,0,0,1,0,1,0,0,0,0,64,69,64,59,67,58,3
0,58,0,0,1,1,0,0,0,0,1,56,57,36,63,55,49,2
1000,42,1,0,1,0,1,0,0,0,0,46,51,54,65,65,46,1
0,38,0,0,0,0,0,1,0,0,0,39,42,36,33,55,39,5
0,19,0,0,0,0,0,0,1,0,1,32,37,40,29,31,47,3
0,65,0,0,1,1,0,0,0,0,0,64,60,49,63,67,65,6
1320,98,1,0,1,0,0,0,0,0,0,59,72,43,62,67,51,3
0,61,0,1,0,0,0,0,0,0,0,42,38,30,40,37,41,2
0,42,0,0,0,1,0,1,0,0,1,51,48,40,40,37,30,4
0,40,0,0,1,0,1,0,0,0,1,46,54,59,55,41,55,3
0,46,0,0,1,0,0,0,0,0,1,71,58,66,57,56,59,0
0,11,0,0,0,1,0,0,0,0,0,42,36,60,59,51,49,5
980,92,1,1,0,0,0,0,0,0,1,64,36,58,59,60,58,4
